scope,dataset,model,fold,true_class,predicted_Fresh,predicted_Sub-fresh,predicted_Spoiled
cross_validation,pork,ShuffleNetV2-0.5x,4,Fresh,37,3,0
cross_validation,pork,ShuffleNetV2-0.5x,4,Sub-fresh,0,8,2
cross_validation,pork,ShuffleNetV2-0.5x,4,Spoiled,1,2,17
cross_validation,pork,Spot-CNN,1,Fresh,38,2,0
cross_validation,pork,Spot-CNN,1,Sub-fresh,0,10,0
cross_validation,pork,Spot-CNN,1,Spoiled,0,3,17
cross_validation,pork,Spot-CNN,2,Fresh,38,2,0
cross_validation,pork,Spot-CNN,2,Sub-fresh,0,9,1
cross_validation,pork,Spot-CNN,2,Spoiled,0,0,20
cross_validation,pork,Spot-CNN,3,Fresh,40,0,0
cross_validation,pork,Spot-CNN,3,Sub-fresh,1,9,0
cross_validation,pork,Spot-CNN,3,Spoiled,0,1,19
cross_validation,pork,Spot-CNN,4,Fresh,39,1,0
cross_validation,pork,Spot-CNN,4,Sub-fresh,0,9,1
cross_validation,pork,Spot-CNN,4,Spoiled,1,2,17
cross_validation,pork,Tiny-MLP,1,Fresh,37,3,0
cross_validation,pork,Tiny-MLP,1,Sub-fresh,0,10,0
cross_validation,pork,Tiny-MLP,1,Spoiled,0,3,17
cross_validation,pork,Tiny-MLP,2,Fresh,39,1,0
cross_validation,pork,Tiny-MLP,2,Sub-fresh,0,9,1
cross_validation,pork,Tiny-MLP,2,Spoiled,0,1,19
cross_validation,pork,Tiny-MLP,3,Fresh,40,0,0
cross_validation,pork,Tiny-MLP,3,Sub-fresh,0,10,0
cross_validation,pork,Tiny-MLP,3,Spoiled,0,3,17
cross_validation,pork,Tiny-MLP,4,Fresh,40,0,0
cross_validation,pork,Tiny-MLP,4,Sub-fresh,1,8,1
cross_validation,pork,Tiny-MLP,4,Spoiled,0,0,20
